StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3109,1,16,14,2020-07-19T23:13:22+08:00
TXG3110,1,19,11,2020-07-19T23:13:43+08:00
TXG3111,1,26,10,2020-07-19T23:13:43+08:00
TXG3112,1,0,1,2020-07-19T23:13:32+08:00
TXG3113,1,21,11,2020-07-19T23:13:41+08:00
TXG3114,1,17,23,2020-07-19T23:13:17+08:00
TXG3115,1,7,23,2020-07-19T23:13:36+08:00
TXG3116,1,18,12,2020-07-19T23:13:40+08:00
TXG3117,1,9,21,2020-07-19T23:13:21+08:00
TXG3118,1,12,26,2020-07-19T23:13:23+08:00
TXG3119,1,21,15,2020-07-19T23:13:28+08:00
TXG3120,1,21,23,2020-07-19T23:13:18+08:00
TXG3121,1,20,18,2020-07-19T23:13:23+08:00
TXG3122,1,24,12,2020-07-19T23:13:31+08:00
TXG3123,1,20,26,2020-07-19T23:13:24+08:00
TXG3124,1,12,21,2020-07-19T23:13:19+08:00
TXG3125,1,8,22,2020-07-19T23:13:37+08:00
TXG3126,1,25,13,2020-07-19T23:12:25+08:00
TXG3127,1,8,22,2020-07-19T23:13:29+08:00
TXG3128,1,26,8,2020-07-19T23:13:45+08:00
TXG3129,1,15,23,2020-07-19T23:13:40+08:00
TXG3130,1,17,13,2020-07-19T23:13:31+08:00
TXG3131,1,20,20,2020-07-19T23:13:42+08:00
TXG3132,1,13,23,2020-07-19T23:13:35+08:00
TXG3133,1,20,18,2020-07-19T23:13:22+08:00
TXG3134,1,28,8,2020-07-19T23:13:16+08:00
TXG3135,1,22,18,2020-07-19T23:13:34+08:00
TXG3136,1,23,17,2020-07-19T23:13:25+08:00
TXG3137,1,15,19,2020-07-19T23:13:27+08:00
TXG3138,1,22,10,2020-07-19T23:13:39+08:00
TXG3139,1,33,7,2020-07-19T23:13:42+08:00
TXG3140,1,8,24,2020-07-19T23:13:41+08:00
TXG3141,1,29,21,2020-07-19T23:13:17+08:00
TXG3142,1,18,12,2020-07-19T23:13:33+08:00
TXG3143,1,30,20,2020-07-19T23:13:27+08:00
TXG3144,1,23,11,2020-07-19T23:13:34+08:00
TXG3145,1,11,31,2020-07-19T23:13:27+08:00
TXG3146,1,9,19,2020-07-19T23:13:17+08:00
TXG3147,1,10,24,2020-07-19T23:13:21+08:00
TXG3148,1,19,11,2020-07-19T23:13:30+08:00
TXG3149,1,37,23,2020-07-19T23:13:33+08:00
TXG3150,1,16,14,2020-07-19T23:13:30+08:00
TXG3151,1,24,8,2020-07-19T23:13:26+08:00
TXG3152,1,31,7,2020-07-19T23:13:27+08:00
TXG3153,1,24,8,2020-07-19T23:13:31+08:00
TXG3154,1,11,24,2020-07-19T23:13:29+08:00
TXG3155,1,19,11,2020-07-19T23:13:41+08:00
TXG3156,1,22,8,2020-07-19T23:13:38+08:00
TXG3157,1,24,16,2020-07-19T23:13:28+08:00
TXG3158,1,14,22,2020-07-19T23:13:38+08:00
TXG3159,1,26,10,2020-07-19T23:13:40+08:00
TXG3160,1,13,19,2020-07-19T23:13:39+08:00
TXG3161,1,10,26,2020-07-19T23:13:20+08:00
TXG3162,1,25,19,2020-07-19T23:13:39+08:00
TXG3163,1,20,12,2020-07-19T23:13:44+08:00
TXG3164,1,13,22,2020-07-19T23:13:35+08:00
TXG3165,1,11,19,2020-07-19T23:13:21+08:00
TXG3166,1,10,24,2020-07-19T23:13:43+08:00
TXG3167,1,17,17,2020-07-19T23:13:22+08:00
TXG3168,1,18,12,2020-07-19T23:13:28+08:00
TXG3169,1,18,14,2020-07-19T23:13:20+08:00
TXG3170,1,14,16,2020-07-19T23:13:28+08:00
TXG3171,1,16,24,2020-07-19T23:13:44+08:00
TXG3172,1,16,17,2020-07-19T23:13:32+08:00
TXG3173,1,11,21,2020-07-19T23:13:26+08:00
TXG3174,1,15,15,2020-07-19T23:13:22+08:00
TXG3175,1,21,23,2020-07-19T23:13:45+08:00
TXG3176,1,10,30,2020-07-19T23:12:27+08:00
TXG3177,1,21,19,2020-07-19T23:13:16+08:00
TXG3178,1,18,18,2020-07-19T23:13:28+08:00
TXG3179,1,22,7,2020-07-19T23:13:34+08:00
TXG3180,1,23,13,2020-07-19T23:13:40+08:00
TXG3181,1,14,16,2020-07-19T23:13:16+08:00
TXG3182,1,17,19,2020-07-19T23:13:35+08:00
TXG3183,1,18,26,2020-07-19T23:13:38+08:00
TXG3184,1,21,11,2020-07-19T23:13:33+08:00
TXG3185,1,14,16,2020-07-19T23:13:33+08:00
TXG3186,1,21,13,2020-07-19T23:13:41+08:00
TXG3187,1,24,28,2020-07-19T23:13:29+08:00
TXG3188,1,26,24,2020-07-19T23:13:31+08:00
TXG3189,1,10,20,2020-07-19T23:12:37+08:00
TXG3190,1,26,14,2020-07-19T23:13:37+08:00
TXG3191,1,23,29,2020-07-19T23:13:16+08:00
TXG3192,1,21,15,2020-07-19T23:13:21+08:00
TXG3193,1,24,10,2020-07-19T23:13:31+08:00
TXG3194,1,27,13,2020-07-19T23:13:27+08:00
TXG3195,1,29,1,2020-07-19T23:13:19+08:00
TXG3196,1,22,12,2020-07-19T23:13:28+08:00
TXG3197,1,9,21,2020-07-19T23:13:40+08:00
TXG3198,1,4,24,2020-07-19T23:13:42+08:00
TXG3199,1,19,16,2020-07-19T23:13:18+08:00
TXG3200,1,18,18,2020-07-19T23:13:41+08:00
TXG3201,1,18,14,2020-07-19T23:13:26+08:00
TXG3202,1,18,30,2020-07-19T23:13:24+08:00
TXG3203,1,24,12,2020-07-19T23:13:18+08:00
TXG3204,1,15,15,2020-07-19T23:13:18+08:00
TXG3205,1,19,17,2020-07-19T23:13:33+08:00
TXG3206,1,18,18,2020-07-19T23:13:39+08:00
TXG3207,1,9,25,2020-07-19T23:13:43+08:00
TXG3208,1,19,11,2020-07-19T23:13:18+08:00
TXG3209,1,26,4,2020-07-19T23:13:15+08:00
TXG3210,1,14,18,2020-07-19T23:13:15+08:00
TXG3211,1,11,13,2020-07-19T23:13:24+08:00
TXG3212,1,22,10,2020-07-19T23:13:41+08:00
TXG3213,1,13,19,2020-07-19T23:13:40+08:00
TXG3214,1,19,33,2020-07-19T23:13:33+08:00
TXG3215,1,23,11,2020-07-19T23:13:44+08:00
TXG3216,1,19,13,2020-07-19T23:13:41+08:00
TXG3217,1,15,35,2020-07-19T23:13:33+08:00
TXG3218,1,14,24,2020-07-19T23:08:06+08:00
TXG3219,1,18,16,2020-07-19T23:13:34+08:00
TXG3220,1,15,21,2020-07-19T23:13:44+08:00
TXG3221,1,15,17,2020-07-19T23:13:18+08:00
TXG3222,1,23,13,2020-07-19T23:13:26+08:00
TXG3223,1,19,17,2020-07-19T23:13:21+08:00
TXG3224,1,12,24,2020-07-19T23:13:16+08:00
TXG3225,1,22,8,2020-07-19T23:13:26+08:00
TXG3226,1,24,8,2020-07-19T23:13:43+08:00
TXG3227,1,13,16,2020-07-19T23:13:34+08:00
TXG3228,1,21,9,2020-07-19T23:13:42+08:00
TXG3229,1,13,21,2020-07-19T23:12:25+08:00
TXG3230,1,16,16,2020-07-19T23:13:16+08:00
TXG3231,1,12,23,2020-07-19T23:13:23+08:00
TXG3232,1,20,9,2020-07-19T23:13:27+08:00
TXG3233,1,38,14,2020-07-19T23:13:34+08:00
TXG3234,1,21,9,2020-07-19T23:13:29+08:00
TXG3235,1,18,12,2020-07-19T23:13:35+08:00
TXG3236,1,22,42,2020-07-19T23:13:37+08:00
TXG3237,1,12,22,2020-07-19T23:13:24+08:00
TXG3238,1,16,15,2020-07-19T23:13:37+08:00
TXG3239,1,15,15,2020-07-19T23:13:27+08:00
TXG3240,1,22,8,2020-07-19T23:13:36+08:00
TXG3241,1,18,12,2020-07-19T23:13:39+08:00
TXG3242,1,19,21,2020-07-19T23:13:43+08:00
TXG3243,1,13,17,2020-07-19T23:13:39+08:00
TXG3244,1,9,21,2020-07-19T23:13:21+08:00
TXG3245,1,11,19,2020-07-19T23:13:42+08:00
TXG3246,1,13,17,2020-07-19T23:13:22+08:00
TXG3247,1,12,20,2020-07-19T23:13:40+08:00
TXG3248,1,12,18,2020-07-19T23:13:29+08:00
TXG3249,1,19,11,2020-07-19T23:13:35+08:00
TXG3250,1,16,14,2020-07-19T23:13:42+08:00
TXG3251,1,29,13,2020-07-19T23:13:24+08:00
TXG3252,1,27,13,2020-07-19T23:13:30+08:00
TXG3253,1,14,16,2020-07-19T23:13:38+08:00
TXG3254,1,51,9,2020-07-19T23:13:28+08:00
TXG3255,1,20,10,2020-07-19T23:13:25+08:00
TXG3256,1,14,16,2020-07-19T23:13:26+08:00
TXG3257,1,13,7,2020-07-19T23:13:41+08:00
TXG3258,1,17,13,2020-07-19T23:13:15+08:00
TXG3259,1,13,25,2020-07-19T23:13:30+08:00
TXG3260,1,9,21,2020-07-19T23:13:40+08:00
TXG3261,1,58,24,2020-07-19T23:13:39+08:00
TXG3262,1,11,19,2020-07-19T23:13:20+08:00
TXG3263,1,21,9,2020-07-19T23:13:20+08:00
TXG3264,1,26,8,2020-07-19T23:13:39+08:00
TXG3265,1,12,20,2020-07-19T23:13:21+08:00
TXG3266,1,15,15,2020-07-19T23:13:25+08:00
TXG3267,1,30,48,2020-07-19T23:13:35+08:00
TXG3268,1,18,14,2020-07-19T23:13:36+08:00
TXG3269,1,18,8,2020-07-19T23:13:19+08:00
TXG3270,1,13,16,2020-07-19T23:13:39+08:00
TXG3271,1,18,12,2020-07-19T23:13:29+08:00
TXG3272,1,13,23,2020-07-19T23:13:30+08:00
TXG3273,1,22,8,2020-07-19T23:13:19+08:00
TXG3274,1,17,13,2020-07-19T23:13:26+08:00
TXG3275,1,14,21,2020-07-19T23:13:38+08:00
TXG3276,1,14,15,2020-07-19T23:13:42+08:00
TXG3277,1,33,17,2020-07-19T23:13:32+08:00
TXG3278,1,24,6,2020-07-19T23:13:39+08:00
TXG3279,1,26,20,2020-07-19T23:13:44+08:00
TXG3280,1,13,17,2020-07-19T23:13:17+08:00
TXG3281,1,22,10,2020-07-19T23:13:17+08:00
TXG3282,1,18,12,2020-07-19T23:13:18+08:00
TXG3283,1,20,28,2020-07-19T23:13:43+08:00
TXG3284,1,15,15,2020-07-19T23:13:44+08:00
TXG3285,1,20,20,2020-07-19T23:13:45+08:00
TXG3286,1,10,28,2020-07-19T23:13:31+08:00
TXG3287,1,12,18,2020-07-19T23:13:42+08:00
TXG3288,1,18,19,2020-07-19T23:13:19+08:00
TXG3289,1,10,20,2020-07-19T23:13:17+08:00
TXG3290,1,18,14,2020-07-19T23:13:16+08:00
TXG3291,1,14,16,2020-07-19T23:13:17+08:00
TXG3292,1,25,21,2020-07-19T23:13:24+08:00
TXG3293,1,17,15,2020-07-19T23:13:41+08:00
TXG3294,1,20,10,2020-07-19T23:13:33+08:00
TXG3295,1,24,6,2020-07-19T23:13:22+08:00
TXG3296,1,21,9,2020-07-19T23:13:35+08:00
TXG3297,1,23,39,2020-07-19T23:13:35+08:00
TXG3298,1,11,19,2020-07-19T23:13:25+08:00
TXG3299,1,10,19,2020-07-19T23:13:23+08:00
TXG3300,1,17,23,2020-07-19T23:13:45+08:00
TXG3301,1,12,17,2020-07-19T23:13:37+08:00
TXG3302,1,13,15,2020-07-19T23:13:19+08:00
TXG3303,1,15,25,2020-07-19T23:13:16+08:00
TXG3304,1,22,8,2020-07-19T23:13:35+08:00
TXG3305,1,14,18,2020-07-19T23:13:39+08:00
TXG3306,1,17,13,2020-07-19T23:13:21+08:00
TXG3307,1,25,16,2020-07-19T23:13:37+08:00
TXG3308,1,17,17,2020-07-19T23:13:35+08:00
TXG3309,1,23,7,2020-07-19T23:13:34+08:00
TXG3310,1,16,18,2020-07-19T23:13:27+08:00
TXG3311,1,11,18,2020-07-19T23:13:25+08:00
TXG3312,1,13,15,2020-07-19T23:13:22+08:00
TXG3313,1,22,8,2020-07-19T23:13:24+08:00
TXG3314,1,7,23,2020-07-19T23:13:39+08:00
TXG3315,1,14,16,2020-07-19T23:13:30+08:00
TXG3316,1,16,14,2020-07-19T23:13:43+08:00
TXG3317,1,14,18,2020-07-19T23:13:29+08:00
TXG3318,1,18,12,2020-07-19T23:13:29+08:00
TXG3319,1,13,17,2020-07-19T23:13:27+08:00
TXG3320,1,21,15,2020-07-19T23:13:32+08:00
TXG3321,1,19,11,2020-07-19T23:13:22+08:00
TXG3322,1,7,22,2020-07-19T23:13:35+08:00
TXG3323,1,40,30,2020-07-19T23:13:33+08:00
TXG3324,1,29,31,2020-07-19T23:13:16+08:00
TXG3325,1,17,13,2020-07-19T23:13:41+08:00
TXG3326,1,16,14,2020-07-19T23:13:16+08:00
TXG3327,1,12,18,2020-07-19T23:13:37+08:00
TXG3328,1,23,7,2020-07-19T23:13:15+08:00
